dia,spot0935,spot1000,lado,strike,horaEntrada,askEntrada,horaSalida,bidSalida,dolares,ret
2022-07-11,3875.2,3858.55,P,3860,10:00,15.8,15:55,9.6,-620.00,-0.392405
2022-07-12,3854.94,3849.45,P,3850,10:00,13.5,15:55,28.2,1470.00,1.088889
2022-07-18,3896.89,3894.48,P,3895,10:00,13.3,15:55,63.1,4980.00,3.744361
2022-07-19,3871.27,3880.03,C,3880,10:00,12.7,15:55,53.3,4060.00,3.196850
2022-08-16,4291.41,4292.72,C,4295,10:00,9.1,15:55,12.2,310.00,0.340659
2022-11-01,3908.63,3890.26,P,3890,10:00,14.7,15:55,28.5,1380.00,0.938776
2022-11-08,3808.65,3814.33,C,3815,10:00,12.2,15:55,18.8,660.00,0.540984
2022-11-14,3975.88,3977.93,C,3980,10:00,14.2,15:55,0,-1420.00,-1.000000
2022-11-18,3969.66,3962.78,P,3965,10:00,15.7,15:55,6.6,-910.00,-0.579618
2022-11-21,3952.39,3956.36,C,3955,10:00,13.3,15:55,0.7,-1260.00,-0.947368
2022-11-22,3966.03,3964,P,3965,10:00,11.6,15:55,0,-1160.00,-1.000000
2022-11-23,4008.38,4018.48,C,4020,10:00,13,15:55,5.5,-750.00,-0.576923
2022-11-25,4020.93,4029.38,C,4030,10:00,6.5,15:55,0,-650.00,-1.000000
2022-11-28,4008.48,4002.87,P,4005,10:00,11.1,15:55,41.8,3070.00,2.765766
2022-11-29,3968.57,3961.08,P,3960,10:00,10,15:55,6,-400.00,-0.400000
2022-12-05,4047.13,4034.52,P,4035,10:00,11.4,15:55,36.9,2550.00,2.236842
2022-12-06,3998.97,3973.92,P,3975,10:00,13.5,15:55,32.7,1920.00,1.422222
2023-01-11,3935.64,3937.31,C,3935,10:00,12.1,15:55,29,1690.00,1.396694
2023-01-17,3996.42,3998.83,C,4000,10:00,10.1,15:55,0,-1010.00,-1.000000
2023-01-18,4004.69,4009.05,C,4010,10:00,9.5,15:55,0,-950.00,-1.000000
2023-03-06,4058.55,4062.53,C,4065,10:00,8.9,15:55,0,-890.00,-1.000000
2023-03-27,3999.35,3995.29,P,3995,10:00,13.5,15:55,12.1,-140.00,-0.103704
2023-03-28,3969.81,3969.8,P,3970,10:00,12.7,15:55,2,-1070.00,-0.842520
2023-03-29,4009.48,4013.7,C,4015,10:00,10,15:55,12.3,230.00,0.230000
2023-03-30,4052.8,4055.57,C,4055,10:00,9.1,15:55,0.1,-900.00,-0.989011
2023-03-31,4068.97,4070.07,C,4070,10:00,8.6,15:55,31.9,2330.00,2.709302
2023-04-03,4109.31,4115.83,C,4115,10:00,12,15:55,7.5,-450.00,-0.375000
2023-04-04,4127.94,4124.31,P,4125,10:00,9.7,15:55,27.1,1740.00,1.793814
2023-04-05,4093.8,4097.51,C,4100,10:00,8.7,15:55,0,-870.00,-1.000000
2023-04-06,4074.95,4074.2,P,4075,10:00,10.8,15:55,0,-1080.00,-1.000000
2023-04-10,4076.22,4074.28,P,4075,10:00,10.3,15:55,0,-1030.00,-1.000000
2023-04-11,4113.63,4108.13,P,4110,10:00,9.8,15:55,1.65,-815.00,-0.831633
2023-04-13,4105.43,4102.82,P,4105,10:00,10,15:55,0,-1000.00,-1.000000
2023-04-14,4143.97,4160.28,C,4160,10:00,10.5,15:55,0,-1050.00,-1.000000
2023-04-17,4137.97,4138.74,C,4140,10:00,8.2,15:55,9.4,120.00,0.146341
2023-04-18,4164.2,4158.65,P,4160,10:00,8.7,15:55,4.2,-450.00,-0.517241
2023-06-05,4288.94,4285.15,P,4285,10:00,8.7,15:55,8.6,-10.00,-0.011494
2023-06-07,4292.93,4295.33,C,4295,10:00,8.4,15:55,0,-840.00,-1.000000
2023-06-08,4270.34,4266.75,P,4265,10:00,7.1,15:55,0,-710.00,-1.000000
2023-06-20,4396.56,4389.69,P,4390,10:00,8.4,15:55,0.4,-800.00,-0.952381
2023-07-03,4447.24,4450.85,C,4450,10:00,6.1,15:55,4.5,-160.00,-0.262295
2023-07-17,4507.92,4509.91,C,4510,10:00,7,15:55,16.3,930.00,1.328571
2023-07-18,4518,4529.72,C,4530,10:00,6.3,15:55,28.2,2190.00,3.476190
2023-09-11,4487.99,4472.7,P,4475,10:00,9.2,15:55,0,-920.00,-1.000000
2023-09-12,4477.13,4479.12,C,4480,10:00,7.1,15:55,0,-710.00,-1.000000
2023-09-14,4487.98,4490.23,C,4490,10:00,8.3,15:55,13.5,520.00,0.626506
2023-09-19,4444.83,4438.86,P,4440,10:00,8.4,15:55,0.05,-835.00,-0.994048
2023-11-06,4368.3,4365.72,P,4365,10:00,9,15:55,3.5,-550.00,-0.611111
2023-11-07,4358.49,4366.57,C,4365,10:00,8.6,15:55,11.1,250.00,0.290698
2023-11-08,4388.77,4387.63,P,4390,10:00,9.7,15:55,5.4,-430.00,-0.443299
2023-11-09,4386.95,4388.32,C,4390,10:00,8.2,15:55,0,-820.00,-1.000000
2023-11-10,4361.26,4367.22,C,4365,10:00,10.6,15:55,50.4,3980.00,3.754717
2023-11-13,4397.39,4397.97,C,4400,10:00,8,15:55,11.8,380.00,0.475000
2023-11-14,4474.91,4488.07,C,4490,10:00,8.6,15:55,4,-460.00,-0.534884
2023-11-15,4512.59,4506.22,P,4505,10:00,8.8,15:55,4.4,-440.00,-0.500000
2023-11-16,4502.18,4510.55,C,4510,10:00,8.7,15:55,0.15,-855.00,-0.982759
2023-11-17,4506.96,4508.21,C,4510,10:00,7.7,15:55,2.85,-485.00,-0.629870
2023-11-20,4517.8,4528.41,C,4530,10:00,5.5,15:55,16.7,1120.00,2.036364
2023-11-21,4537.22,4533.85,P,4535,10:00,8,15:55,0.1,-790.00,-0.987500
2023-11-22,4562.78,4554.83,P,4555,10:00,8,15:55,0.45,-755.00,-0.943750
2023-11-24,4558.04,4558.67,C,4560,10:00,3.4,15:55,0,-340.00,-1.000000
2023-11-27,4549.44,4551.04,C,4550,10:00,6.9,15:55,2.3,-460.00,-0.666667
2023-11-28,4544.66,4541.48,P,4540,10:00,5.7,15:55,0,-570.00,-1.000000
2023-11-29,4583.97,4585.23,C,4585,10:00,7.7,15:55,0,-770.00,-1.000000
2023-12-19,4748.55,4754.91,C,4755,10:00,6.7,15:55,8.1,140.00,0.208955
2023-12-27,4777.08,4778.87,C,4780,10:00,6.3,15:55,0.1,-620.00,-0.984127
2024-01-29,4894.44,4896.63,C,4895,10:00,7.9,15:55,26.8,1890.00,2.392405
2024-02-12,5026.53,5028.24,C,5030,10:00,6.4,15:55,0.05,-635.00,-0.992188
2024-03-04,5129.85,5133.71,C,5135,10:00,6,15:55,0.55,-545.00,-0.908333
2024-03-25,5222.3,5222.5,C,5225,10:00,6.2,15:55,0.1,-610.00,-0.983871
2024-03-26,5234.04,5232.23,P,5230,10:00,5.9,15:55,18.1,1220.00,2.067797
2024-03-27,5232.8,5227.32,P,5225,10:00,6.2,15:55,0,-620.00,-1.000000
2024-03-28,5248.01,5250.86,C,5250,10:00,9.8,15:55,8.3,-150.00,-0.153061
2024-04-01,5260.75,5261.16,C,5260,10:00,7,15:55,0,-700.00,-1.000000
2024-04-04,5252.79,5246.86,P,5245,10:00,6.6,15:55,84.2,7760.00,11.757576
2024-04-29,5121.85,5111.32,P,5110,10:00,9.7,15:55,1.05,-865.00,-0.891753
2024-04-30,5103.64,5107.64,C,5110,10:00,7.6,15:55,0,-760.00,-1.000000
2024-05-06,5150.96,5157.05,C,5155,10:00,10,15:55,20.9,1090.00,1.090000
2024-05-07,5191.76,5185.87,P,5185,10:00,8,15:55,0.3,-770.00,-0.962500
2024-05-08,5169.4,5180.18,C,5180,10:00,8.3,15:55,9.7,140.00,0.168675
2024-05-09,5189.25,5189.9,C,5190,10:00,7.8,15:55,23.2,1540.00,1.974359
2024-05-10,5233.76,5237.43,C,5235,10:00,9.9,15:55,0,-990.00,-1.000000
2024-05-13,5231.12,5230.37,P,5230,10:00,7.6,15:55,8.3,70.00,0.092105
2024-05-14,5223.42,5224.19,C,5225,10:00,10.4,15:55,25.4,1500.00,1.442308
2024-05-16,5312.37,5313.16,C,5315,10:00,6.1,15:55,0.15,-595.00,-0.975410
2024-05-17,5298.97,5298.85,P,5300,10:00,8.9,15:55,0.8,-810.00,-0.910112
2024-05-20,5310.17,5321.74,C,5320,10:00,8.2,15:55,0,-820.00,-1.000000
2024-05-21,5303.91,5303.98,C,5305,10:00,6.7,15:55,17.9,1120.00,1.671642
2024-05-22,5318.01,5322.14,C,5320,10:00,7,15:55,0,-700.00,-1.000000
2024-05-28,5313.15,5303.11,P,5305,10:00,9.5,15:55,4.6,-490.00,-0.515789
2024-07-03,5513.93,5516.89,C,5515,10:00,7.3,15:55,14.9,760.00,1.041096
2024-07-08,5578.79,5580.8,C,5580,10:00,7.4,15:55,0.05,-735.00,-0.993243
2024-07-10,5589.8,5592.62,C,5595,10:00,5.5,15:55,37.2,3170.00,5.763636
2024-08-15,5512.98,5515.05,C,5515,10:00,11.9,15:55,20.1,820.00,0.689076
2024-08-19,5563.12,5561.56,P,5560,10:00,9.8,15:55,0,-980.00,-1.000000
2024-08-20,5609.55,5619.5,C,5620,10:00,9.5,15:55,0,-950.00,-1.000000
2024-08-21,5606.98,5615.52,C,5615,10:00,13.7,15:55,3.3,-1040.00,-0.759124
2024-08-22,5641.81,5634.38,P,5635,10:00,11.9,15:55,66.3,5440.00,4.571429
2024-08-26,5650.09,5641.46,P,5640,10:00,10.5,15:55,24.9,1440.00,1.371429
2024-08-27,5602.8,5609.49,C,5610,10:00,11.3,15:55,13.1,180.00,0.159292
2024-08-28,5621.19,5621.74,C,5620,10:00,10.4,15:55,0,-1040.00,-1.000000
2024-09-24,5723.69,5714.74,P,5715,10:00,9.6,15:55,0,-960.00,-1.000000
2024-09-25,5738.62,5737.4,P,5735,10:00,7.8,15:55,13,520.00,0.666667
2024-09-26,5757.84,5758.28,C,5760,10:00,8.7,15:55,0,-870.00,-1.000000
2024-09-27,5754.97,5751.98,P,5750,10:00,8.8,15:55,8.4,-40.00,-0.045455
2024-10-09,5748.46,5754.77,C,5755,10:00,11.2,15:55,41,2980.00,2.660714
2024-10-14,5837.25,5853.02,C,5855,10:00,7.9,15:55,10.1,220.00,0.278481
2024-10-15,5865.78,5860.51,P,5860,10:00,9.2,15:55,40.8,3160.00,3.434783
2024-10-21,5858.08,5859.73,C,5860,10:00,7.9,15:55,0,-790.00,-1.000000
2024-11-25,6013.07,6005.56,P,6005,10:00,9.6,15:55,17.1,750.00,0.781250
2024-11-26,6004.41,6002.66,P,6005,10:00,12.5,15:55,0,-1250.00,-1.000000
2024-11-27,6017.04,6016.86,P,6015,10:00,9.2,15:55,17.4,820.00,0.891304
2024-11-29,6010.78,6019.25,C,6020,10:00,5.3,15:55,13.4,810.00,1.528302
2024-12-02,6045.65,6040.02,P,6040,10:00,9.3,15:55,0.05,-925.00,-0.994624
2024-12-03,6047.66,6045.05,P,6045,10:00,9.3,15:55,0.05,-925.00,-0.994624
2024-12-04,6069.29,6069.46,C,6070,10:00,8.2,15:55,16.7,850.00,1.036585
2024-12-05,6087.64,6089.45,C,6090,10:00,6,15:55,0,-600.00,-1.000000
2024-12-09,6083.02,6084.67,C,6085,10:00,5.4,15:55,0,-540.00,-1.000000
2024-12-12,6067.96,6070.95,C,6070,10:00,6.9,15:55,0,-690.00,-1.000000
2025-01-21,6029.65,6025.24,P,6025,10:00,12.6,15:55,0,-1260.00,-1.000000
2025-01-22,6080.47,6087.31,C,6085,10:00,10.3,15:55,2.8,-750.00,-0.728155
2025-01-23,6079.53,6084.71,C,6085,10:00,8.3,15:55,23.3,1500.00,1.807229
2025-01-24,6119.63,6124.1,C,6125,10:00,9.2,15:55,0,-920.00,-1.000000
2025-02-06,6075.69,6073.03,P,6075,10:00,12.7,15:55,0.3,-1240.00,-0.976378
2025-02-18,6122.78,6115.58,P,6115,10:00,9.4,15:55,0.8,-860.00,-0.914894
2025-02-19,6116.75,6115.35,P,6115,10:00,9.6,15:55,0,-960.00,-1.000000
2025-02-20,6126.28,6097.74,P,6100,10:00,13.8,15:55,0,-1380.00,-1.000000
2025-03-24,5731.57,5750.6,C,5750,10:00,13.8,15:55,22.6,880.00,0.637681
2025-03-25,5775.94,5770.58,P,5770,10:00,13.2,15:55,0.7,-1250.00,-0.946970
2025-03-26,5770.79,5758.76,P,5760,10:00,12.9,15:55,43.8,3090.00,2.395349
